Node,Value,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0
5,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
3,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
6,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
1,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
13,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
10,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
17,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
0,-1.1558,-0.2753,0.12035000000000001,0.3069,0.39735624999999997,0.44187968749999995,0.463965234375,0.47496396484375,0.48045231933593746,0.48319374389648434,0.48456376800537104,0.48524860801696773,0.48559098501205444,0.48576216275691986,0.4858477489411831,0.4858905413612723,0.48591193740330635,0.4859226353823207,0.4859279843613272,0.4859306588482053,0.4859319960909881,0.4859326647122154,0.485932999022788,0.4859331661780641,0.48593324975569957,0.4859332915445167,0.48593331243892507,0.4859333228861292,0.4859333281097313,0.48593333072153233,0.48593333202743283,0.4859333326803831,0.4859333330068582,0.4859333331700958,0.48593333325171456,0.485933333292524,0.48593333331292865,0.485933333323131,0.4859333333282322,0.48593333333078276,0.485933333332058,0.48593333333269567,0.48593333333301447,0.4859333333331739,0.4859333333332536,0.48593333333329347,0.4859333333333134,0.48593333333332334,0.48593333333332833,0.48593333333333083,0.4859333333333321,0.4859333333333327,0.485933333333333,0.48593333333333316,0.4859333333333332,0.4859333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333
2,-0.582,0.09945000000000004,0.3296875,0.417059375,0.45380859375,0.47044902343749995,0.478335693359375,0.4821706420898437,0.4840610198974609,0.48499943466186524,0.4854669485092163,0.48570028204917903,0.48581684297323224,0.4858750969737768,0.48590421735867856,0.4859187758972868,0.4859260547531303,0.4859296940776868,0.48593151371412385,0.48593242352588206,0.48593287843014604,0.48593310588187427,0.48593321960763747,0.4859332764704938,0.48593330490191566,0.48593331911762505,0.4859333262254793,0.48593332977940634,0.48593333155636986,0.4859333324448516,0.48593333288909246,0.4859333331112129,0.4859333332222731,0.4859333332778032,0.48593333330556826,0.48593333331945077,0.48593333332639205,0.48593333332986266,0.485933333331598,0.4859333333324657,0.4859333333328995,0.4859333333331164,0.48593333333322486,0.4859333333332791,0.48593333333330624,0.4859333333333198,0.48593333333332656,0.48593333333332994,0.48593333333333166,0.4859333333333325,0.4859333333333329,0.4859333333333331,0.4859333333333332,0.4859333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333
4,-0.6288,-0.011800000000000033,0.2521,0.37277499999999997,0.43029375,0.4583484375,0.472199609375,0.47908115234375,0.4825109130859375,0.48422304077148437,0.4850784164428711,0.48550593223571775,0.48571964712142945,0.48582649381160736,0.48587991446852685,0.48590662412494423,0.4859199787851423,0.4859266560732387,0.4859299947067862,0.4859316640209348,0.48593249867735283,0.4859329160053978,0.4859331246693792,0.4859332290013597,0.48593328116734735,0.48593330725034056,0.485933320291837,0.48593332681258516,0.48593333007295925,0.4859333317031463,0.4859333325182398,0.48593333292578655,0.48593333312955994,0.4859333332314466,0.48593333328238997,0.48593333330786165,0.4859333333205975,0.4859333333269654,0.4859333333301494,0.4859333333317414,0.48593333333253735,0.4859333333329353,0.4859333333331343,0.48593333333323385,0.4859333333332836,0.48593333333330846,0.4859333333333209,0.4859333333333271,0.4859333333333302,0.4859333333333318,0.48593333333333255,0.48593333333333294,0.4859333333333331,0.4859333333333332,0.4859333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333,0.48593333333333333
