Node,Value,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0
3,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
11,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
10,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
15,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
2,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
8,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
21,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
0,2.3164,2.47584,2.587024,2.6567584,2.6979142400000002,2.720536384,2.7332743423999997,2.7407500518399996,2.7452020643839994,2.7478665892863994,2.7494639677030395,2.7504221274480636,2.7509969698340857,2.751341864573501
1,2.2117,2.49162,2.627732,2.6904551999999997,2.7193019199999995,2.7342877119999995,2.7424940351999996,2.7469467379199997,2.7493357048319997,2.7505994921471997,2.7512560088371196,2.7515888654315517,2.7517519473364986,2.75182781724844
4,2.3867,2.55732,2.6515319999999996,2.7000991999999995,2.7245035199999994,2.7369493119999992,2.7436065471999993,2.7472818099199996,2.7493289336319995,2.7504690701311993,2.7511016059187194,2.7514504670289917,2.751641440938803,2.751745030323077
5,2.7125,2.7135,2.7296199999999997,2.7423159999999998,2.7492488,2.7513371199999996,2.7517547839999996,2.7518383168,2.7518550233599997,2.7518583646719996,2.7518590329343997,2.75185916658688,2.751859193317376,2.751859198663475
6,2.9115,2.8319,2.78454,2.7625719999999996,2.7544695999999993,2.75238128,2.751963616,2.7518800831999997,2.75186337664,2.751860035328,2.7518593670655997,2.7518592334131196,2.7518592066826235,2.7518592013365244
7,0.8194,1.65624,2.1265039999999997,2.3897183999999996,2.5388598399999998,2.626022464,2.6775348864,2.70797124864,2.725950411264,2.7365683160064,2.7428373031526396,2.7465376420208636,2.748721213290086,2.750009376820592
9,0.8057,1.60872,2.082372,2.3586032,2.51960592,2.6140107519999995,2.6698434111999996,2.7030239283199995,2.7227742046719996,2.7345362327551994,2.741541903493119,2.7457146455736314,2.7481999480655865,2.749680134599147
12,2.3045,2.508,2.62194,2.682344,2.7138503999999997,2.7305574399999997,2.7397714239999997,2.7449807359999996,2.74794828928,2.74964068352,2.7506045739519998,2.75115224784896,2.751462509430784,2.7516376714182655
13,2.715,2.7538,2.76136,2.759648,2.7567664,2.75480352,2.753625792,2.7529191552,2.75249517312,2.7522407838719998,2.7520881503231998,2.7519965701939197,2.7519416221163517,2.751908653269811
14,1.8781,2.29146,2.5076359999999998,2.6183975999999998,2.67606736,2.7083469759999996,2.7269295935999995,2.7376080729599996,2.7437325058559994,2.747237572761599,2.7492388572057593,2.7503785744527356,2.751025772749209,2.751392112496066
16,31.9912,30.164640000000002,30.996184000000007,31.213593600000006,31.32095968000001,31.380394688000006,31.407364096000006,31.421807421440004,31.430125752832005,31.435047218892805,31.437986191974403,31.439746794512388,31.44080259977298,31.4414359716769
17,32.4117,32.243500000000004,31.539708000000005,31.482008800000003,31.509489760000005,31.493512736000003,31.475234924800002,31.46252991872,31.454559251200003,31.449707317913603,31.44678225138688,31.445024430159876,31.443969181161478,31.44333592051
18,27.4248,34.85312,38.9448,41.5661168,43.644318240000004,45.53466918400001,47.221193913600004,48.715725324800005,50.03693609395201,51.203920221798406,52.23436215985153,53.14413692971828,53.94734291090351,54.65645315276309
19,26.0713,26.612700000000004,29.908868000000002,33.5232408,36.740391200000005,39.50196201600001,41.91504488320001,44.03750449536001,45.90879282713601,47.56005013386241,49.01759816903681,50.3043037653627,51.44023703110493,52.44307938302436
20,22.0049,23.63146,24.823956000000003,26.857920800000002,29.524048800000003,32.410585760000004,35.247136262400005,37.91429971072001,40.36358162457601,42.58166610560001,44.573019716904966,46.3508510977577,47.9322321647997,49.33543411132179
22,27.6595,30.48402,31.39546,31.5521976,31.55160304,31.534757728000002,31.518259731200004,31.501049808640005,31.485641852672003,31.473208812083204,31.463808214415366,31.45699782920397,31.45220846958633,31.44891275421639
23,34.7208,32.76262,31.787304,31.550711200000002,31.4695472,31.447818208,31.443472409600002,31.442603249920005,31.442429417984002,31.442394651596803,31.442387698319365,31.442386307663874,31.442386029532777,31.442385973906557
