Node,Value,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0
6,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
7,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
10,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
15,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
13,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
19,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
20,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
18,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
1,1.7811,2.18422,3.382732,5.451855200000001,7.80565872,10.1695032,12.420376083199999,14.4964092096,16.368861949696,18.032853631744,19.49748449176576,20.778980387960836,21.8965234027262,22.86970673798308,23.717088075659397,24.45547754018712,25.099688720572207,25.66255822989912,26.155103451950154,26.586737156749145,26.965492139317703
2,2.8389,2.7911799999999998,3.746908,5.670360800000001,7.936762080000001,10.248165216,12.467573292800001,14.52472753536,16.385852945152,18.0430482290176,19.50360125012992,20.78265044297933,21.898725435737298,22.871027957789742,23.717880807543395,24.455953179317515,25.099974104050446,25.66272945998606,26.15520619000232,26.586798799580443,26.96552912501648
3,0.9977,1.7141800000000003,3.100708,5.2826408,7.7041300800000005,10.108586016,12.3838257728,14.474479023359999,16.355703837952,18.0249587646976,19.49274757153792,20.776138235824128,21.894818111444174,22.868683563213864,23.716474170797866,24.455109197270197,25.099467714822055,25.66242562644903,26.155023889880102,26.586689419507113,26.965463496972482
4,2.7889,2.8089,4.654468,7.062035999999999,9.50894864,11.798475424,13.866242156799998,15.70864217728,17.344615895296002,18.794378550323202,20.077175652403202,21.21122633326797,22.213267576293376,23.09839844472463,23.880112759000937,24.570410481043336,25.179934031529406,25.71810670099827,26.193263972026863,26.61277434672465,26.983148758589536
5,1.7211,2.16822,4.27006,6.8313912,9.370561760000001,11.715443296,13.81642288,15.6787506112,17.326680955648,18.7836175865344,20.070719074129922,21.207352386304002,22.210943208114998,23.097003823817605,23.879275986456726,24.56990841751681,25.17963279341349,25.71792595812872,26.193155526305134,26.612709279291607,26.98310971812971
8,1.1808,1.8440400000000001,4.075552,6.7146864,9.300538880000001,11.673429568000001,13.7912146432,15.66362566912,17.3176059904,18.7781726073856,20.067452086640643,21.205392193810432,22.209767092618854,23.09629815451992,23.878852584878114,24.569654376569645,25.17948036884519,25.717834503387742,26.193100653460547,26.61267635558486,26.983089963905663
9,2.5159,7.42282,10.673388,13.179317600000001,15.2327656,16.967892256,18.472242208,19.79857647232,20.969022532864003,22.0013713055232,22.91230235456512,23.716329440831487,24.42609474737152,25.0526842304154,25.605857064106935,26.094219357258506,26.525365705201565,26.905999878569755,27.24203990877132,27.538710376386863,27.800623729052433
11,2.7196,2.74732,3.720592,5.6545712,7.927288320000001,10.24248096,12.464162739199999,14.522681203199998,16.384625145856,18.04231154944,19.50315924238336,20.782385238331393,21.89856631294853,22.87093248411648,23.717823523339437,24.45591880879514,25.099953481737018,25.662717086598008,26.155198765969487,26.586794345160747,26.965526452364664
