Comm 0,Comm 1
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
0.6207,30.2557
0.9454,31.4753
0.7473,30.2376
-0.0166,30.4854
1.4257,29.6388
-0.7749,30.0782
1.0627,28.9702
-1.5537,29.3311
-0.357,29.308
0.5616,28.6496
0.5201,31.5396
0.1506,30.4649
-1.2173,29.0699
-0.9165,30.723
-0.5657,28.2591
1.261,31.0091
-1.1067,31.0219
-0.4537,29.015
-0.7439,31.6464
-0.3729,30.3061
-0.8065,29.3184
-0.5015,29.308
-0.6582,30.513
-0.1136,28.4865
0.6896,28.8326
0.2896,28.989
0.0226,29.5684
-1.2606,28.9566
-1.3095,30.0104
-1.0198,29.0022
0.2562,31.5108
0.657,29.4526
-0.5949,27.1981
0.2239,30.3667
-0.6293,29.2968
0.3209,31.1126
-0.1866,28.3373
-0.3572,29.8477
1.8897,31.082
-0.6856,29.7772
-1.5893,31.1763
-0.8692,29.6854
0.8917,30.3632
0.9278,30.0992
-0.0375,30.1401
1.628,31.7011
-1.8374,31.2635
-0.0665,29.0682
-0.3346,29.2713
1.4518,28.4423
1.4526,30.3249
-1.2384,31.1763
1.7662,29.3664
0.67,32.7325
0.8535,30.7483
-0.2441,30.8112
0.6374,29.4436
2.2696,27.7718
-1.0815,28.9835
0.3313,29.4998
1.1267,29.7654
-1.5972,32.195
0.6945,28.3427
0.2252,31.3335
1.2136,28.2197
-1.0606,30.7085
3.1343,28.8075
-1.0588,29.9161
0.2754,29.4838
-0.2294,30.3305
0.411,29.9346
1.6242,31.1965
0.1866,30.1103
-0.8797,30.0614
-1.2787,28.5445
-0.2356,29.4127
-1.5191,30.7475
0.3896,29.4062
-0.3303,29.0167
-1.5335,30.4459
0.5749,30.4431
-0.4272,29.0547
0.6049,30.5694
0.4493,31.1541
-0.1935,27.9885
-0.8817,28.1885
-0.5882,28.3148
-1.3848,30.9942
-1.7334,30.7688
-0.2098,29.2686
-0.2396,29.3018
-0.3871,29.2466
-1.5569,30.7484
1.1693,30.1281
0.345,30.9825
0.0657,29.7879
-0.2198,31.9844
-0.7156,31.1595
0.2746,28.6616
-0.7108,30.3945
0.4576,29.4644
0.7043,28.9009
0.3372,30.3379
-1.5597,29.9352
-0.2374,28.593
-0.1356,29.0873
1.1887,29.8764
0.547,29.3621
0.1683,30.9285
0.7902,29.3589
-0.3113,31.8975
-0.1492,31.4869
-0.4537,30.7726
0.4077,29.1484
0.581,31.6623
0.151,29.8581
0.1274,31.4149
0.8148,27.8713
-0.5585,28.3087
1.9174,30.5104
0.5621,28.9615
-0.2052,29.2019
0.1816,30.6134
1.4822,29.7624
0.5608,31.0709
0.4818,31.1883
-0.5591,29.8079
0.9079,30.4389
-0.0296,29.8705
0.0459,28.8794
0.6873,29.666
0.1186,30.2453
0.0163,31.154
-1.2904,29.1861
1.3363,30.2092
0.9279,29.2888
-1.3385,31.6143
0.1745,29.4761
1.1835,30.116
-2.3191,29.4665
0.6641,28.9819
1.0401,29.7786
-1.147,29.2454
0.9923,30.3898
0.12,30.4408
-0.8453,31.0352
-0.0553,29.9624
-1.1568,30.4487
-0.3881,31.3943
-1.0467,30.5246
0.2957,31.3968
1.4755,29.8857
0.8403,30.6913
-0.7825,30.6328
0.7329,29.7332
0.4984,29.1015
