Node,Value,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0
9,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
2,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
10,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
3,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
4,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
7,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
25,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
23,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
24,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
0,0.9151,1.96746,3.611956,6.3923912,9.56629808,12.72480368,15.6532015808,18.25070195072,20.489879608064,22.383730597222403,23.964507432826885,25.271520443635715,26.344613383357647,27.220946566810422,27.933621943673472,28.511299282394425,28.97832363902925,29.355096944028816
1,-0.2059,1.2948600000000001,3.208396,6.1502552,9.42101648,12.637634720000001,15.600900204799999,18.219321125119997,20.471051112703996,22.3724335000064,23.95772917449728,25.267453488637955,26.34217321035899,27.219482463011225,27.932743481393956,28.51077220502672,28.978007392608625,29.35490719617644
5,1.0488,2.04768,3.660088,6.421270399999999,9.5836256,12.735200192,15.659439487999999,18.25444469504,20.492125254656,22.385077985177602,23.965315865600004,25.27200550329959,26.34490441915597,27.221121188289416,27.93372671656087,28.511362146126864,28.978361357268717,29.355119574972495
6,2.833,3.1182,4.3024000000000004,6.806657599999999,9.814857920000001,12.873939584000002,15.742683123199999,18.30439087616,20.522092963328,22.403058610380803,23.976104240721924,25.278478528372737,26.34878823419986,27.22345147731575,27.93512488997667,28.512201050176344,28.978864699698406,29.35542158043031
8,0.9998,6.0786999999999995,10.225091999999998,13.979966399999999,17.191427039999997,19.813185888,21.9585112512,23.706479527680003,25.123268736768,26.2666445465088,27.18646883417088,27.924881833383935,28.516853612835224,28.99102289228488,29.3706361088935,29.67445539133769,29.917569806395207,30.11208812372344
11,2.3435,2.8245000000000005,4.126180000000001,6.7009256,9.75141872,12.835876064,15.719845011199999,18.290688008959997,20.513871243007998,22.3981255781888,23.973144421406722,25.276702636783618,26.34772269924639,27.222812156343668,27.934741297393423,28.511970894626394,28.978726606368433,29.355338724432325
12,3.546,3.23222,4.363112,6.7754943999999995,9.726721600000001,12.766830784,15.6318953344,18.200229952,20.431163095552,22.3282530208768,23.91741525907456,25.234150914248705,26.316317473814117,27.20025047525343,27.918881865402643,28.501019399115457,28.971274752533112,29.35033019310454
13,2.6901,2.88986,4.1576960000000005,6.6522448,9.65277184,12.722460928,15.6052734208,18.18425680384,20.421579206656,22.3225026875392,23.913965059071998,25.232080794247167,26.315075401813196,27.19950523205288,27.918434719482313,28.50075111156326,28.971113780001794,29.35023360958575
14,-0.0459,6.0402000000000005,10.563044,14.327158400000002,17.46256208,20.045798431999998,22.146952505599998,23.84864609408,25.224507080960002,26.3356726862336,27.23203995984896,27.954252792940544,28.535446341989584,29.00263500896805,29.37781529047586,29.67886017398149,29.920256901528166,30.113720322426566
15,31.6723,32.0306,31.939420000000002,31.6976528,31.457649280000002,31.268843584000003,31.1346590464,31.04459600128,30.98626049536,30.9493494203392,30.92636258676736,30.912203899211775,30.903549846917937,30.898288997719245,30.89510316830379,30.893179161589114,30.892019441491378,30.891321358028062
16,26.7927,28.615920000000003,29.721568,30.3513688,30.64987888,30.784181344,30.843861702399998,30.87011759488,30.88157345152,30.886537194035203,30.88867525098496,30.889591497742337,30.889982406036275,30.890148533190246,30.890218889586393,30.890248594358674,30.890261101153115,30.8902663538251
17,28.8875,29.04456,29.3587,29.6900776,30.029086239999998,30.30720016,30.509911379200002,30.64825900672,30.73890944128,30.796737845094402,30.83296270455808,30.855369771083772,30.869107280929175,30.877476858644805,30.882553339532095,30.885622683981463,30.887474297903402,30.88858951911171
18,23.8481,26.849159999999998,28.661512,29.7153352,30.26825872,30.555209248,30.7064784448,30.78768764032,30.832115478784,30.856862410393603,30.8708703808,30.878908575631357,30.883572652769686,30.886302681230294,30.887911378410422,30.888864087653094,30.88943039712977,30.889767931411097
19,31.0292,30.72948,30.65272,30.7238296,30.7988632,30.843775072,30.8676991936,30.87965259136,30.885387450112,30.888062793472,30.889285490759676,30.889835593652222,30.89008004440023,30.890187588535827,30.890234511724625,30.890254843213967,30.890263600695235,30.89026735364195
20,34.1069,32.875820000000004,32.017284000000004,31.471458400000003,31.172406880000004,31.022989408,30.951303673600002,30.9178618816,30.902578165504,30.8957018793472,30.892646244997117,30.891301943302143,30.890715403442176,30.890461259825397,30.89035179130957,30.890304879475593,30.89028486497094,30.89027635926066
21,27.5311,28.930339999999998,29.649995999999998,30.0510856,30.320183200000002,30.5116552,30.6445031488,30.733781566719998,30.792129976576,30.8294329659904,30.852884896983042,30.867445134493696,30.876401318157107,30.881872808654357,30.885198720606944,30.887213037054018,30.888429759517997,30.889163295988894
22,22.956,26.3139,28.340356,29.5226416,30.15264256,30.485839552,30.6648566272,30.76271454976,30.817131624448,30.847872097792,30.86547619323904,30.875672063094783,30.88163074524774,30.885137536717124,30.887212291702518,30.88844463562835,30.889178725914924,30.889616928682187
